prompt,chosen,rejected
"Genereer een korte en informatieve titel: Introduction The cardiovascular biomarkers troponin T, N-terminal pro-B-type natriuretic peptide, and fibroblast growth factor 23 are elevated in hemodialysis patients and associated with an increased cardiovascular mortality risk. Nocturnal hemodialysis improves the fluid status in hemodialysis patients. Therefore, we investigated whether nocturnal hemodialysis (7–8 h sessions) was associated with lower levels of troponin T, N-terminal pro-B-type natriuretic peptide, and fibroblast growth factor 23 in comparison to conventional hemodialysis. Second, we investigated whether these biomarkers were independently associated with physical performance in hemodialysis patients. Methods A prospective cohort of 33 hemodialysis patients was compared to 32 patients who voluntarily switched from conventional hemodialysis to nocturnal hemodialysis. First, we studied the difference between the two cohorts in change over 12 months of troponin T, N-terminal pro-B-type natriuretic peptide, and fibroblast growth factor 23 with linear mixed models. Second, the associations between these biomarkers and physical-activity monitor, six minute walk test, and physical component summary score were assessed at baseline, 6 and 12 months. Findings N-terminal pro-B-type natriuretic peptide increased 122% during conventional hemodialysis, whereas it decreased 31% during nocturnal hemodialysis (p = 0.001). In conventional hemodialysis, fibroblast growth factor 23 rose numerically by 19% (23%–66%) in 12 months, while a decline of 44% (21%–58%) was found in nocturnal hemodialysis patients (p = 0.17). Troponin T did not differ between groups. Regarding physical performance, a higher N-terminal pro-B-type natriuretic peptide (per 1000 ng/L) and fibroblast growth factor 23 (per 1000 RU/mL) were associated with lower physical component summary scores of −0.02 (p = 0.02) and −0.04 (p = 0.05), respectively. Troponin T was not associated with physical performance. Discussion Our findings showed that nocturnal hemodialysis was associated with a decrease in N-terminal pro-B-type natriuretic peptide. This suggested that nocturnal hemodialysis diminished volume overload and thereby myocardial stretch. Additionally, lower levels of N-terminal pro-B-type natriuretic peptide and fibroblast growth factor 23 were found to be associated with better self-reported physical performance scores.","Troponin T, N-terminal pro-B-type natriuretic peptide, and fibroblast growth factor 23 in","A randomized, placebo-controlled study of troponin T, N-terminal pro-B-type natriuretic peptide"
"Genereer een korte en informatieve titel: Deze scriptie onderzoekt hoe Nederlandse gemeenten en provincies CO₂- en grondstoffeneisen structureel en praktisch kunnen opnemen in beheer- en onderhoudsplannen van vaste bruggen. Het onderzoek combineert literatuurstudie, beleidsanalyse, interviews en een casestudy van de Huygenfietsbrug. Uit de resultaten komt naar voren dat duurzaamheid momenteel beperkt en ad hoc wordt toegepast in brugbeheer. Het ontwikkelde stappenplan – bestaande uit materialenpaspoorten, losmaakbaarheid, emissievrij materieel en toepassing van secundaire en biobased materialen – biedt concrete handvatten om klimaat- en circulariteitsdoelen planmatig te verankeren. Daarmee levert de scriptie een praktisch procesmodel en aanbevelingen die bijdragen aan toekomstbestendig en circulair brugbeheer in lijn met de Klimaatwet en het Nationaal Programma Circulaire Economie.",Nederlandse gemeenten en provincies CO2- en grondstoffeneisen structureel en praktisch,De Breach kunzeneen de Brugbeheer
"Genereer een korte en informatieve titel: Dit afstudeeronderzoek betreft een inventarisatie van archeologie en bodemgegevens, om een gespecificeerde archeologische verwachting op te stellen dat toegevoegd kan worden aan het toekomstige archeologiebeleid van de gemeente Apeldoorn. Hierbij gaat het om het archeologische bodemarchief rondom de pingoruïnes in de gemeente Apeldoorn.",Afstudeeronderzoek betreft een inventarisatie van archeologie en bodemge,Archeologie en bodemgegevens aar hoe hoog het archeologische bodemarchief rondom
"Genereer een korte en informatieve titel: The number of families with children experiencing homelessness, seeking asylum, or fleeing domestic violence is rising globally. However, the design of family shelters often overlooks the specific needs of children. To foster innovation in creating child-friendly shelter environments, this study explores the characteristics of children’s favourite places within family shelters. Using a walk-along and photovoice inspired approach, children were asked to show, photograph and describe their favourite place in the shelter. Researchers analysed the photos and narratives to understand how the children perceive and articulate the significance of these places. Data were collected among N = 23 children (aged 4–12) residing in shelters for asylum-seeking families, homeless families, and women’s shelters for families in the Netherlands. The findings reveal three key characteristics of children’s favourite places in shelters: (1) possibilities for joint play, (2) an aesthetic, secluded and happy atmosphere, and (3) safety and security. The discussion offers shelter care workers, architects, and others responsible for sheltering families a set of challenges for organising, designing, and utilising shelters as children’s places.",The characteristics of children’s favourite places in family shelters: a walk-along and photovoice inspired approach,Children’s favourite places in family shelters
"Genereer een korte en informatieve titel: De Nederlandse overheid ontwikkelde beleid om bij de verwachte bevolkingsopbouw in 2040 – met een relatief groot aantal oudere ouderen - de beperkt beschikbare professionele zorg zo efficiënt mogelijk, toegankelijk, betaalbaar en van hoge kwaliteit te houden. Ouderen wonen daarom langer thuis, zijn zelfredzaam en zorgen voor elkaar. Dit maakbaarheidsdenken vraagt om reflectie op normatieve en existentiële dimensies om te komen tot een betekenisvolle transformatie die ‘deugt en deugd doet’. Recent overheidsbeleid over langer thuiswonen van ouderen is in kaart gebracht en hoe adviesraden rondom politiek en openbaar bestuur dit beleidsvraagstuk duiden. Onderzoekers verkenden waarden en normen in reflectieve dialogen met ouderen, beleidsmakers, zorgprofessionals en opleiders. Een aantal dilemma’s rond dit beleid zijn geconstateerd: het beleid gaat uit van maakbaarheid en energieke ouderen, het beheersingsvraagstuk is enorm, de beleidskaders knellen voor professionals en ouderen hebben nauwelijks stem. De slotbeschouwing roept op om in beleid en professioneel handelen deze ambivalentie een plek te geven.",Nederlandse overheid ontwikkelde beleid om bij de verwachte bevolkingso,Wetsopbouw in naarn: bevolkingsopbouw een relatief groot ou
"Genereer een korte en informatieve titel: Awareness of climate change and stricter emission regulations have accelerated the search for sustainable energy solutions. A central goal is carbon-neutral energy use, minimizing greenhouse gas emissions while ensuring reliable energy supply. In applications with limited grid access—such as festivals, shipping, or mobile workstations—internal combustion engine (ICE) generators remain vital due to their high power density, operational simplicity, and low costs. To improve environmental performance, renewable fuels like methanol (CH₃OH) can partially replace diesel. This project investigates converting Stage III diesel generators into diesel-methanol dual-fuel (DMDF) systems to comply with Stage V emission standards, focusing on methanol injection timing, air intake temperature, and Methanol Energy Fraction (MEF).A literature review revealed that intake air temperature (IAT) strongly affects combustion: lower temperatures increase ignition delay and reduce peak cylinder pressure, while higher temperatures enhance combustion efficiency but raise NOx emissions. Methanol’s high latent heat, high octane, and low cetane numbers make it suitable as a secondary fuel, reducing particulate matter (PM) and enabling leaner combustion, though it may increase unburned hydrocarbons (HC), CO, and formaldehyde, especially at higher MEF or low loads. Methanol’s cooling effect delays diesel ignition, affecting knock. Injection timing and valve overlap are critical: early methanol injection improves evaporation and reduces knock, whereas late injection can increase HC/CO emissions. Multi-Point Sequential Injection (MPI-S) provides a practical retrofit for Stage III engines. Aftertreatment systems—Diesel Oxidation Catalyst (DOC), Diesel Particulate Filter (DPF), and Selective Catalytic Reduction (SCR)—remain essential to meet Stage V standards, as dual-fuel conversion alone is insufficient.This study focuses on a John Deere 4045 HFG82 diesel engine, a 4.5 L, 4-cylinder, direct-injection unit rated at 103 kW. Modifications for dual-fuel operation included installing a methanol fuel rail, reinforced brackets, a modified cylinder head, and a bypass valve to control IAT. Measurements included mass airflow, intake air temperature, exhaust gas temperature, in-cylinder pressure, smoke, and exhaust composition (CO, CO₂, NOx, HC, PM), along with crankshaft speed, fuel flow, and power. Data were processed in Matlab to evaluate efficiency, MEF, and emissions.Tests varied IAT (30–70 °C), methanol injection timing (early, middle, late) based on TDC, and MEF (10–50 %), with baseline diesel-only measurements for calibration. Efficiency was calculated from output power relative to total fuel energy, and emissions were expressed in g/kWh for comparison with Stage III and V standards.Results showed that IAT, Methanol Injection Timing (MIT), and MEF significantly influence combustion, efficiency, and emissions. Higher IAT improved methanol vaporization, combustion, and reduced HC/CO, but increased NOx. Efficiency increased at low loads but slightly decreased at medium loads due to changes in air density and oxygen availability. MIT effects were minor in the tested range, though extreme timings caused knock and unstable combustion. Higher MEF reduced NOx and PM emissions, but could increase HC and CO at low IAT due to incomplete methanol combustion. Methanol combustion also produced formaldehyde, requiring monitoring. These findings provide insights for optimizing dual-fuel engine operation to meet emission standards while maintaining performance.",Induction air temperature and Methanol Energy Fraction in Diesel-Methanol Dual-fuel Systems,Solar fuels in the ee
"Genereer een korte en informatieve titel: Familiebedrijven spelen een belangrijke rol bij het versterken van duurzame innovatie in Regio Zwolle, waar zij 63% van het bedrijfsleven vormen. Hun langetermijnoriëntatie en regionale betrokkenheid maken hen bij uitstek geschikt voor maatschappelijk verantwoord ondernemen. Toch blijft de regio achter op innovatiegebied, waardoor samenwerking essentieel is. Dit onderzoek richt zich op factoren die succesvolle samenwerking tussen familiebedrijven en hun partners mogelijk maken bij duurzame productinnovaties. Uit literatuur blijkt dat familiebedrijven dankzij hun menselijk en sociaal kapitaal goed gepositioneerd zijn om te innoveren, maar hun risicomijdende houding en wens tot behoud van familiecontrole kunnen samenwerking belemmeren. De interviews met drie familiebedrijven tonen dat langdurige relaties, samenwerking binnen het bestaande netwerk en een focus op het gezamenlijke doel boven winst centraal staan. Familiebedrijven werken het liefst met andere familiebedrijven omdat ze elkaars waarden en besluitvorming begrijpen. Wel blijkt dat ze bij het aangaan van samenwerkingen zelden expliciet hun ambities of doelen bespreken. Dit kan leiden tot onduidelijkheid en gemiste kansen in het innovatieproces. De onderzoekers zien daarom potentie in het ontwikkelen van een gesprekstool om gezamenlijke ambities en waarden in kaart te brengen. Zo’n instrument kan bijdragen aan sterkere samenwerkingsrelaties en meer succesvolle duurzame innovaties in familiebedrijven.",Familiebedrijven spelen een belangrijke rol bij het versterken van duurzame innova,Belangrijven raande: familiebedrijven rijven tode de bij duurzame productinnovaties
"Genereer een korte en informatieve titel: In 2023 is er door de terreinbeheerders in Zuid-Limburg via het OBN een Raad voor Daad voorstel ingediend met de vraag: 'Welke natuurdoelen zijn te realiseren op de Kleefaarde in het Heuvelland, rekening houdend met de gradiënt naar andere bodemtypen waarin ze voorkomen, en welke maatregelen en beheer is noodzakelijk om deze te bereiken'. In 2024 is op een deel van de vraag antwoord gegeven door Sevink (2024) in het rapport en advies: 'Kleefaarde: ontstaan, voorkomen en eigenschappen van een markante Zuid-Limburgse bodem.' Om verdere informatie van de kleefaarde op de Kunderberg te verkrijgen heeft Staatsbosbeheer een onderzoeksvoorstel ingediend. Om aan het voorstel te voldoen, is de volgende hoofdvraag geformuleerd: Hoe kan een gedetailleerde bodemkartering met zuurgraad en kalkgehalte bijdragen aan natuurontwikkeling en -beheer op het plateau en de hellingen van de Kunderberg?","Kleefaarde: ontstaan, voorkomen","De varag, voorkomen, het ren"
"Genereer een korte en informatieve titel: Het objectief meten van spierkracht is essentieel binnen de fysiotherapie voor het stellen van behandeldoelen en het evalueren van progressie. De CitecMotion Hand Held Dynamometer (HHD) is een draagbaar instrument voor dit doel, maar wetenschappelijke onderbouwing voor de betrouwbaarheid ervan ontbrak nog. Dit onderzoek had als doel de intra-rater betrouwbaarheid vast te stellen van de CitecMotion HHD bij het meten van de knijpkracht en knie-extensiekracht bij gezonde volwassenen.De CitecMotion HHD is een uiterst betrouwbaar instrument voor individuele therapeuten om de knijpkracht bij gezonde volwassenen te monitoren. In de klinische praktijk kan een krachtverandering van meer dan 34,62 N met 95% zekerheid worden beschouwd als een werkelijke verandering. Vanwege de fixatieproblematiek kon geen uitspraak worden gedaan over de betrouwbaarheid bij knie-extensiekracht; vervolgonderzoek met mechanische fixatie is hiervoor noodzakelijk. Met samenvatting in het Engels. Includes a summary in English.",CitecMotion Hand Held Dynamometer,Het spierkracht van behandeldoelen
"Genereer een korte en informatieve titel: In the Europe is a growing interest in interprofessional collaboration (IPC) between childcare, school and family support to offer integrated services for children and their families. However, there is a significant variation in the level of early childhood education and care system integration. In a systematic review from six countries with varying levels of system integration (in descending order from integrated systems to split systems; Norway, Finland, Sweden, Germany, Flanders (Dutch speaking part of Belgium) and the Netherlands), we analyzed the literature related to barriers and facilitators in IPC between childcare, school, and family support services. The review showed some differences in IPC characteristics from the literature from countries with different levels of system integration. The literature from countries with an integrated system tended to focus more on the process of collaboration, whereas the literature from countries with a split system concentrated on the content of collaboration. Despite the differences in national context, the results demonstrated that the literature from all countries reported the challenges faced by professionals in connecting different worlds. Contrary to our expectations the literature of ‘somewhat’ integrated countries tends to be more critical about IPC than the Dutch literature (a country with a split system).","Interprofessional collaboration between childcare, school, and family support services in Europe: a systematic review",Do you have barriers and facilitators in interprofessional collaboration in Europe
